CUSTOMER_ID,GENDER,AGE,COUNTRY,TENURE_MONTHS,CONTRACT_TYPE,HAS_INTERNET,HAS_MOBILE,HAS_TV,MONTHLY_CHARGES,TOTAL_CHARGES,NUM_COMPLAINTS,SUPPORT_CALLS,PAYMENT_METHOD,CHURN,NUM_SERVICES,AVG_CHARGE_PER_MONTH,IS_LONG_TENURE
C000001,Male,68.0,FR,61.0,Month-to-month,0,1,0,17.54,1077.63,0,0,Bank transfer,1.0,1,17.666065573770492,1
C000002,Female,65.0,FR,37.0,Month-to-month,1,1,0,50.82,833.94,1,1,Credit card,0.0,2,22.53891891891892,1
C000003,Male,36.0,FR,53.0,Two year,1,1,0,34.44,1828.5,0,0,Credit card,0.0,2,34.5,1
C000004,Male,23.0,UK,6.0,Month-to-month,1,1,1,50.66,271.56,1,1,Credit card,0.0,3,45.26,0
C000005,Male,44.0,GR,39.0,Month-to-month,1,1,1,38.82,1519.19,0,0,Credit card,0.0,3,38.953589743589745,1
C000006,Female,70.0,GR,25.0,Month-to-month,1,1,1,59.33,1443.72,0,3,Credit card,0.0,3,57.7488,1
C000007,Male,65.0,GR,42.0,Month-to-month,0,1,1,47.8,1995.71,0,3,Cash,1.0,2,47.51690476190476,1
C000008,Male,51.0,FR,42.0,Two year,1,1,0,29.61,1243.85,0,1,Cash,0.0,2,29.615476190476187,1
C000009,Male,76.0,GR,59.0,Month-to-month,0,1,0,23.47,1377.23,0,0,E-banking,1.0,1,23.342881355932203,1
C000010,Female,28.0,UK,38.0,One year,1,1,0,49.24,1896.52,0,0,Bank transfer,1.0,2,49.90842105263158,1
C000011,Male,32.0,DE,31.0,Two year,1,1,1,41.18,1208.68,0,1,Cash,0.0,3,38.98967741935484,1
C000012,Male,81.0,UK,29.0,Month-to-month,1,1,1,35.95,1334.41,1,3,Credit card,1.0,3,46.01413793103448,1
C000013,Male,20.0,IT,9.0,Two year,1,1,0,33.85,279.79,0,3,Bank transfer,0.0,2,31.08777777777778,0
C000014,Male,40.0,GR,1.0,Month-to-month,1,1,1,39.49,57.21,3,6,E-banking,0.0,3,57.21,0
C000015,Female,70.0,ES,72.0,Two year,1,1,1,52.64,3790.93,0,2,Credit card,0.0,3,52.651805555555555,1
C000016,Male,54.0,GR,47.0,Month-to-month,1,1,0,46.36,2211.59,0,0,Bank transfer,1.0,2,47.05510638297873,1
C000017,Female,26.0,GR,10.0,One year,1,1,0,36.25,355.53,0,1,Credit card,0.0,2,35.553,0
C000019,Female,20.0,GR,47.0,Month-to-month,1,0,0,30.95,1459.26,0,0,E-banking,0.0,1,31.048085106382977,1
C000020,Male,34.0,FR,43.0,Month-to-month,0,1,0,28.42,1183.18,1,2,Credit card,1.0,1,27.515813953488372,1
C000021,Female,43.0,UK,24.0,Month-to-month,0,1,0,24.25,557.55,0,3,Cash,1.0,1,23.23125,1
C000022,Male,38.0,GR,8.0,Month-to-month,1,1,0,54.94,421.89,0,1,E-banking,0.0,2,52.73625,0
C000023,Female,38.0,GR,26.0,One year,0,0,1,27.64,722.17,0,0,Bank transfer,0.0,1,27.775769230769228,1
C000024,Female,28.0,UK,7.0,Two year,1,0,0,22.0,181.0,1,1,Credit card,0.0,1,25.857142857142858,0
C000025,Female,55.0,FR,15.0,One year,1,1,1,59.32,908.09,0,1,Cash,0.0,3,60.53933333333334,0
C000026,Female,52.0,DE,48.0,Month-to-month,1,1,1,43.47,2106.52,0,1,Credit card,0.0,3,43.88583333333333,1
C000027,Female,31.0,UK,3.0,Month-to-month,1,1,1,65.09,172.87,2,2,Cash,0.0,3,57.623333333333335,0
C000028,Female,31.0,FR,16.0,Month-to-month,1,1,1,45.89,760.63,1,3,Credit card,1.0,3,47.539375,0
C000029,Female,27.0,UK,14.0,Month-to-month,1,1,0,46.61,655.67,0,0,Bank transfer,0.0,2,46.833571428571425,0
C000030,Female,29.0,GR,3.0,Two year,1,1,0,25.92,101.6,2,4,Credit card,1.0,2,33.86666666666667,0
C000031,Male,55.0,UK,70.0,Two year,1,1,0,33.36,2290.76,1,1,Credit card,0.0,2,32.72514285714286,1
C000032,Male,51.0,UK,31.0,Month-to-month,1,1,1,51.6,1613.31,1,1,Bank transfer,0.0,3,52.042258064516126,1
C000033,Female,58.0,ES,17.0,Month-to-month,0,1,1,29.54,483.91,1,1,Bank transfer,0.0,2,28.465294117647062,0
C000034,Female,27.0,UK,49.0,One year,1,0,0,28.18,1342.84,0,2,E-banking,0.0,1,27.40489795918367,1
C000035,Female,34.0,IT,3.0,One year,0,1,0,19.53,77.99,2,2,E-banking,0.0,1,25.996666666666666,0
C000036,Male,34.0,GR,55.0,One year,0,1,0,28.18,1537.2,1,4,Cash,0.0,1,27.94909090909091,1
C000037,Female,84.0,IT,72.0,One year,1,1,0,32.93,2387.23,0,1,Credit card,0.0,2,33.155972222222225,1
C000038,Male,79.0,UK,37.0,Month-to-month,1,0,0,35.95,999.03,0,1,Credit card,0.0,1,27.000810810810812,1
C000039,Male,18.0,UK,66.0,Two year,1,1,1,37.43,2531.33,1,1,Cash,0.0,3,38.35348484848485,1
C000040,Male,29.0,GR,40.0,Month-to-month,1,1,0,41.61,1229.72,0,2,Credit card,0.0,2,30.743000000000002,1
C000041,Male,21.0,GR,30.0,Month-to-month,1,1,0,52.39,1557.77,1,1,Credit card,1.0,2,51.925666666666665,1
C000042,Male,59.0,ES,25.0,Two year,1,0,0,26.04,680.65,1,1,Credit card,0.0,1,27.226,1
C000043,Female,30.0,ES,7.0,Month-to-month,1,1,0,42.24,293.12,1,3,Credit card,1.0,2,41.87428571428571,0
C000044,Female,21.0,GR,50.0,Month-to-month,1,1,0,40.91,2140.53,1,1,Credit card,0.0,2,42.8106,1
C000045,Female,36.0,UK,1.0,Month-to-month,1,1,0,30.61,65.56,1,2,Cash,1.0,2,65.56,0
C000046,Female,19.0,GR,44.0,One year,1,1,0,38.32,1672.04,0,1,Credit card,0.0,2,38.00090909090909,1
C000047,Female,29.0,IT,49.0,Month-to-month,1,1,1,48.88,2397.12,0,1,Credit card,0.0,3,48.92081632653061,1
C000048,Male,23.0,FR,7.0,Month-to-month,1,1,0,44.13,310.93,0,1,Credit card,1.0,2,44.41857142857143,0
C000049,Female,25.0,GR,3.0,Month-to-month,1,1,1,51.71,123.48,2,4,E-banking,1.0,3,41.160000000000004,0
