CUSTOMER_ID,GENDER,AGE,COUNTRY,TENURE_MONTHS,CONTRACT_TYPE,HAS_INTERNET,HAS_MOBILE,HAS_TV,MONTHLY_CHARGES,TOTAL_CHARGES,NUM_COMPLAINTS,SUPPORT_CALLS,PAYMENT_METHOD,CHURN
C000001,Male,68.0,FR,61.0,Month-to-month,0,1,0,17.54,1077.63,0,0,Bank transfer,1.0
C000002,Female,65.0,FR,,Month-to-month,1,1,0,50.82,833.94,1,1,Credit card,0.0
C000003,Male,36.0,FR,53.0,Two year,1,1,0,34.44,1828.5,0,0,Credit card,0.0
C000004,Male,23.0,UK,6.0,Month-to-month,1,1,1,50.66,271.56,1,1,Credit card,0.0
C000005,Male,44.0,GR,39.0,Month-to-month,1,1,1,38.82,1519.19,0,0,Credit card,0.0
C000006,Female,70.0,GR,25.0,Month-to-month,1,1,1,59.33,1443.72,0,3,Credit card,0.0
C000007,Male,65.0,GR,42.0,Month-to-month,0,1,1,47.8,1995.71,0,3,Cash,1.0
C000008,Male,,FR,42.0,Two year,1,1,0,29.61,1243.85,0,1,Cash,0.0
C000009,Male,76.0,GR,59.0,Month-to-month,0,1,0,23.47,1377.23,0,0,E-banking,1.0
C000010,Female,28.0,UK,38.0,One year,1,1,0,49.24,1896.52,0,0,Bank transfer,1.0
C000011,Male,32.0,DE,31.0,Two year,1,1,1,41.18,1208.68,0,1,Cash,0.0
C000012,Male,81.0,UK,29.0,Month-to-month,1,1,1,,1334.41,1,3,Credit card,1.0
C000013,Male,20.0,IT,9.0,Two year,1,1,0,33.85,279.79,0,3,Bank transfer,0.0
C000014,Male,40.0,GR,1.0,Month-to-month,1,1,1,39.49,57.21,3,6,E-banking,0.0
C000015,Female,70.0,ES,72.0,Two year,1,1,1,52.64,3790.93,0,2,Credit card,0.0
C000016,Male,54.0,GR,47.0,Month-to-month,1,1,0,46.36,2211.59,0,0,Bank transfer,1.0
C000017,Female,26.0,GR,10.0,One year,1,1,0,36.25,355.53,0,1,Credit card,0.0
C000018,Female,32.0,DE,16.0,One year,1,0,1,49.54,829.65,1,1,Credit card,
C000019,Female,20.0,GR,47.0,Month-to-month,1,0,0,30.95,1459.26,0,0,E-banking,0.0
C000020,Male,34.0,FR,43.0,Month-to-month,0,1,0,28.42,1183.18,1,2,Credit card,1.0
C000021,Female,43.0,UK,24.0,Month-to-month,0,1,0,24.25,557.55,0,3,Cash,1.0
C000022,Male,38.0,GR,8.0,Month-to-month,1,1,0,54.94,421.89,0,1,E-banking,0.0
C000023,Female,38.0,GR,26.0,One year,0,0,1,27.64,722.17,0,0,Bank transfer,0.0
C000024,Female,28.0,UK,7.0,Two year,1,0,0,22.0,181.0,1,1,Credit card,0.0
C000025,Female,55.0,FR,15.0,One year,1,1,1,59.32,908.09,0,1,Cash,0.0
C000026,Female,52.0,DE,48.0,Month-to-month,1,1,1,43.47,2106.52,0,1,Credit card,0.0
C000027,Female,31.0,UK,3.0,Month-to-month,1,1,1,65.09,172.87,2,2,Cash,0.0
C000028,Female,31.0,FR,16.0,Month-to-month,1,1,1,45.89,760.63,1,3,Credit card,1.0
C000029,Female,27.0,UK,14.0,Month-to-month,1,1,0,46.61,655.67,0,0,Bank transfer,0.0
C000030,Female,29.0,GR,3.0,Two year,1,1,0,25.92,101.6,2,4,Credit card,1.0
C000031,Male,55.0,UK,70.0,Two year,1,1,0,33.36,2290.76,1,1,Credit card,0.0
C000032,Male,51.0,UK,31.0,Month-to-month,1,1,1,51.6,1613.31,1,1,Bank transfer,0.0
C000033,Female,58.0,ES,17.0,Month-to-month,0,1,1,29.54,483.91,1,1,Bank transfer,0.0
C000034,Female,27.0,UK,49.0,One year,1,0,0,28.18,1342.84,0,2,E-banking,0.0
C000035,Female,34.0,IT,3.0,One year,0,1,0,19.53,77.99,2,2,E-banking,0.0
